image,rule_group,whiteness,edge,color,horizontal,texture
E:\RC11\term 2\draft\3.1\G1_structural_design\3e35407cdb.jpg,1,0.731518328,0.091764078,0.007739083,0.477161497,0.00239712
E:\RC11\term 2\draft\3.1\G1_structural_design\3ee0edad77.jpg,1,0.77352947,0.216439098,0.002399921,0.512529314,0.005923256
E:\RC11\term 2\draft\3.1\G1_structural_design\403e629560.jpg,1,0.863406897,0.07435149,0.001360965,0.51263237,0.000665905
E:\RC11\term 2\draft\3.1\G1_structural_design\41beb672f0.jpg,1,0.802469075,0.113888174,0.006545057,0.4993141,0.002903245
E:\RC11\term 2\draft\3.1\G1_structural_design\4249b49790.jpg,1,0.904353857,0.12641193,0.002371912,0.493984789,0.002082011
E:\RC11\term 2\draft\3.1\G1_structural_design\4286b70b3a.jpg,1,0.839764118,0.187593445,0.003762785,0.534470558,0.002562206
E:\RC11\term 2\draft\3.1\G1_structural_design\432fc885ab.jpg,1,0.806594729,0.081089482,0.001994296,0.490770638,0.00177367
E:\RC11\term 2\draft\3.1\G1_structural_design\4337f2e182.jpg,1,0.87427932,0.112824909,0.002662346,0.4782722,0.001985941
E:\RC11\term 2\draft\3.1\G1_structural_design\43b01a4d86.jpg,1,0.774071217,0.10886687,0.012789108,0.492347807,0.001008045
E:\RC11\term 2\draft\3.1\G1_structural_design\453ff28d7f.jpg,1,0.815839589,0.120735809,0.006569156,0.483439922,0.003618642
E:\RC11\term 2\draft\3.1\G1_structural_design\45db940dc6.jpg,1,0.848558068,0.159727544,0.00289114,0.512424886,0.007173746
E:\RC11\term 2\draft\3.1\G1_structural_design\4659157a6f.jpg,1,0.743350863,0.096823245,0.000916112,0.475019008,0.001296423
E:\RC11\term 2\draft\3.1\G1_structural_design\46e3780faf.jpg,1,0.661836386,0.312237591,3.50E-16,0.471661925,0.010233412
E:\RC11\term 2\draft\3.1\G1_structural_design\49222d2f96.jpg,1,0.845537305,0.102023967,0.004337181,0.508737862,0.002459745
E:\RC11\term 2\draft\3.1\G1_structural_design\4a23468be4.jpg,1,0.831582129,0.081682697,0.007011882,0.527141988,0.002178906
